日期_Date,市场溢酬因子__流通市值加权_Rmrf_tmv,市值因子__流通市值加权_Smb_tmv,账面市值比因子__流通市值加权_Hml_tmv
2017/6/29,0.0054,-0.0012,-0.0032
2017/6/30,0.0016,-0.0013,-0.0011
2017/7/3,0.0016,0.0094,0.0029
2017/7/4,-0.0047,0.004,0.0007
2017/7/5,0.0088,0.0001,-0.0017
2017/7/6,0.0014,0.0013,0.0011
2017/7/7,0.0012,0.0037,0.0034
2017/7/10,-0.0013,-0.0024,0.0061
2017/7/11,-0.002,-0.0076,0.0004
2017/7/12,-0.002,-0.0007,0.0012
2017/7/13,0.0062,-0.0003,0.004
2017/7/14,0.001,-0.0056,0.0066
2017/7/17,-0.0235,-0.0307,0.0164
2017/7/18,0.0045,0.0053,0.0033
2017/7/19,0.0153,-0.002,0.004
2017/7/20,0.0052,-0.0017,-0.0008
2017/7/21,-0.001,-0.0006,0.001
2017/7/24,0.0044,0.0029,-0.0011
2017/7/25,-0.0026,0.0026,-0.0025
2017/7/26,-0.0002,0.0058,0.004
2017/7/27,0.0043,0.0088,-0.0127
2017/7/28,0.0019,-0.0047,-0.0004
2017/7/31,0.0062,0.0007,0.0069
2017/8/1,0.005,-0.0006,0.0005
2017/8/2,-0.0038,-0.0038,0.0019
2017/8/3,-0.0031,0.0072,0.0003
2017/8/4,-0.0043,0.0001,0.0024
2017/8/7,0.0067,-0.0027,-0.0021
2017/8/8,0.0019,0.0021,-0.0051
2017/8/9,0.0001,-0.0038,-0.0013
2017/8/10,-0.0056,-0.0053,-0.0015
2017/8/11,-0.0174,0.0005,-0.0084
2017/8/14,0.0134,0.0018,-0.0099
2017/8/15,0.0043,0.0009,-0.0033
2017/8/16,0.0002,0.005,-0.0052
2017/8/17,0.0067,0.0036,0.0028
2017/8/18,-0.0011,-0.0011,0.0044
2017/8/21,0.0061,0,0.0007
2017/8/22,-0.0008,-0.0047,0.0022
2017/8/23,-0.0017,0.0015,-0.0048
2017/8/24,-0.0054,0.0002,0.0009
2017/8/25,0.0161,-0.0004,0.0032
2017/8/28,0.0101,0.0002,-0.0011
2017/8/29,-0.0008,0.0013,0.0005
2017/8/30,0.0012,-0.0018,0.001
2017/8/31,-0.0012,0.0035,-0.003
2017/9/1,0.0035,0.0009,-0.0021
2017/9/4,0.0057,0.0008,-0.005
2017/9/5,0.0018,0.0001,-0.0041
2017/9/6,0.0015,0.0012,-0.0001
2017/9/7,-0.0059,0.0017,0.0012
2017/9/8,0.0004,0.0034,-0.0001
2017/9/11,0.0044,0.0022,-0.0008
2017/9/12,0.0007,-0.0029,-0.0004
2017/9/13,0.0025,-0.0013,-0.0013
2017/9/14,-0.0032,0.0029,0.0033
2017/9/15,-0.0043,-0.0017,-0.0011
2017/9/18,0.0044,0.001,-0.0028
2017/9/19,-0.0031,-0.0001,0.0033
2017/9/20,0.0049,0.0021,-0.0021
2017/9/21,-0.0044,-0.0029,0.0003
2017/9/22,-0.002,-0.0017,-0.0013
2017/9/25,-0.0063,-0.0088,-0.0023
2017/9/26,0.0015,-0.0018,0.0053
2017/9/27,0.0028,0.0014,-0.0016
2017/9/28,-0.002,-0.0055,-0.0048
2017/9/29,0.0041,0.0045,-0.0039
2017/10/9,0.0102,0.0004,-0.0031
2017/10/10,0.0039,0.0051,-0.0069
2017/10/11,0.0007,-0.0031,-0.0013
2017/10/12,-0.0006,-0.0027,-0.0004
2017/10/13,0.0027,-0.0014,0.0009
2017/10/16,-0.0072,-0.014,0.0051
2017/10/17,-0.0014,0.0004,0.0007
2017/10/18,0.0015,-0.0125,0.0001
2017/10/19,-0.0051,-0.0086,-0.0045
2017/10/20,0.0035,0.0091,0.0021
2017/10/23,0.0023,0.0019,-0.0009
2017/10/24,0.0018,-0.0077,0.0039
2017/10/25,0.0039,0.0003,-0.0001
2017/10/26,0.0027,-0.0017,-0.0001
2017/10/27,0.001,-0.007,-0.0042
2017/10/30,-0.0101,-0.0178,0.0066
2017/10/31,0.0019,0.0027,-0.004
2017/11/1,-0.0003,-0.0004,0.0003
2017/11/2,-0.0051,-0.0082,-0.0002
2017/11/3,-0.0047,-0.0048,-0.0054
2017/11/6,0.0073,-0.0055,-0.0049
2017/11/7,0.0073,-0.001,0.0036
2017/11/8,0.0001,0.005,-0.0004
2017/11/9,0.0052,-0.0026,-0.0004
